,1. open,2. high,3. low,4. close,5. volume
2025-02-27,0.6105,0.6299,0.5797,0.5864,100519
2025-02-26,0.5658,0.6400,0.5551,0.6163,235936
2025-02-25,0.5900,0.6000,0.5050,0.5658,439354
2025-02-24,0.6100,0.6144,0.5649,0.6028,368609
2025-02-21,0.6150,0.6300,0.6000,0.6144,416809
2025-02-20,0.6578,0.6600,0.6006,0.6190,420359
2025-02-19,0.6724,0.6807,0.6419,0.6713,303331
2025-02-18,0.7300,0.7300,0.6148,0.6749,925011
2025-02-14,0.7640,0.7650,0.7100,0.7227,697596
2025-02-13,0.8660,0.8869,0.7538,0.7640,1150428
2025-02-12,0.8111,0.9231,0.7513,0.8960,2092513
2025-02-11,0.8232,0.9550,0.7000,0.8600,43421887
2025-02-10,0.7200,0.7200,0.6795,0.6900,8461252
2025-02-07,0.7200,0.7598,0.6935,0.7098,165416
2025-02-06,0.7710,0.7780,0.7099,0.7202,363007
2025-02-05,0.8300,0.8500,0.7606,0.7850,625148
2025-02-04,0.8800,0.8850,0.8301,0.8301,251494
2025-02-03,0.9250,0.9500,0.8500,0.8700,616556
2025-01-31,0.9600,1.0292,0.9506,0.9554,293199
2025-01-30,0.9801,0.9998,0.9610,0.9810,137031
2025-01-29,0.9733,0.9999,0.9551,0.9830,79089
2025-01-28,1.0000,1.0200,0.9500,0.9879,103210
2025-01-27,1.0100,1.0300,0.9548,0.9900,444480
2025-01-24,1.0200,1.0300,0.9801,1.0100,339817
2025-01-23,1.0400,1.0400,1.0100,1.0200,198843
2025-01-22,1.0700,1.0899,1.0300,1.0500,198845
2025-01-21,1.1100,1.1232,1.0700,1.0800,175614
2025-01-17,1.1300,1.1400,1.0701,1.1200,246864
2025-01-16,1.1200,1.1697,1.1100,1.1300,314672
2025-01-15,1.1100,1.1400,1.1071,1.1200,227243
2025-01-14,1.1400,1.1500,1.0971,1.1200,242666
2025-01-13,1.1700,1.1900,1.0701,1.1500,764339
2025-01-10,1.1200,1.2600,1.1200,1.1800,1692367
2025-01-08,1.2400,1.2400,1.0800,1.1400,988096
2025-01-07,1.2400,1.2780,1.2000,1.2150,690528
2025-01-06,1.2800,1.3100,1.1900,1.2500,615228
2025-01-03,1.2500,1.3000,1.1600,1.2650,846917
