,1. open,2. high,3. low,4. close,5. volume
2025-02-27,6.2000,6.3600,5.5995,5.7500,75186
2025-02-26,6.2600,6.3150,6.1400,6.2400,16168
2025-02-25,6.2700,6.4300,6.1100,6.3200,13944
2025-02-24,6.3900,6.4550,6.1550,6.2800,17217
2025-02-21,6.8000,6.8000,6.3000,6.4900,49283
2025-02-20,6.9100,7.0600,6.5400,6.6600,39951
2025-02-19,7.1000,7.1874,6.7200,6.8500,52358
2025-02-18,7.2200,7.3150,7.0188,7.1600,36962
2025-02-14,7.2100,7.3300,7.0400,7.1600,9934
2025-02-13,7.2200,7.3500,7.1900,7.2400,9479
2025-02-12,7.0000,7.4500,7.0000,7.4400,22212
2025-02-11,7.0500,7.3150,7.0500,7.0800,13038
2025-02-10,7.2700,7.2800,6.8600,7.1800,49196
2025-02-07,7.4300,7.6426,7.1300,7.1500,47469
2025-02-06,7.6400,7.7288,7.4187,7.4900,22612
2025-02-05,7.5000,7.8000,7.3501,7.8000,37945
2025-02-04,7.6500,8.0500,7.2500,7.3500,99575
2025-02-03,7.8100,8.0878,7.5300,7.7200,64793
2025-01-31,8.2300,8.3087,7.8000,8.0800,31629
2025-01-30,8.3000,8.4450,8.1900,8.1900,14637
2025-01-29,8.3700,8.5000,8.1600,8.2600,47566
2025-01-28,8.3000,8.5400,8.2001,8.4200,14258
2025-01-27,8.3000,8.5600,8.1871,8.2500,23093
2025-01-24,8.6250,8.6878,8.4100,8.5000,10735
2025-01-23,8.5100,8.6950,8.4100,8.6100,10122
2025-01-22,8.7900,8.8100,8.4400,8.4400,15099
2025-01-21,8.5600,8.7599,8.4900,8.6900,24609
2025-01-17,8.4100,8.6441,8.3800,8.5600,25792
2025-01-16,8.6700,8.6700,8.3000,8.4450,27159
2025-01-15,8.4200,8.8250,7.9868,8.6300,77199
2025-01-14,8.3400,8.3400,7.9100,8.0100,62597
2025-01-13,8.1678,8.5650,8.0700,8.3100,46048
2025-01-10,8.5000,8.5900,8.1600,8.4300,116731
2025-01-08,8.7600,8.8400,8.4300,8.6600,38931
2025-01-07,8.8500,9.1000,8.5217,8.7900,31747
2025-01-06,9.1900,9.4000,8.8400,8.8700,61089
2025-01-03,9.3000,9.5000,8.9920,9.1900,41861
2025-01-02,8.5000,9.3700,8.5000,9.1300,63455
2024-12-31,9.0400,9.6381,8.4200,8.5000,111108
2024-12-30,9.1500,9.3467,8.5950,8.8400,118256
2024-12-27,8.6300,9.4353,8.5800,9.3500,75998
2024-12-26,8.0900,8.7400,8.0100,8.6900,88435
2024-12-24,8.1500,8.2546,8.0110,8.1400,14851
2024-12-23,8.2100,8.3400,7.8800,8.1500,56998
2024-12-20,8.3700,8.6400,8.0100,8.3000,40782
2024-12-19,8.2200,8.5203,8.0000,8.2900,56566
2024-12-18,8.8000,8.8000,7.9700,8.0300,72381
2024-12-17,8.4500,8.8400,8.2000,8.7200,88753
2024-12-16,8.9800,9.1366,8.2551,8.5400,156401
2024-12-13,8.7900,9.1400,8.5000,9.0400,62546
2024-12-12,9.1500,9.2800,8.5400,8.9000,106235
2024-12-11,9.6900,9.8000,8.9701,9.1500,181940
2024-12-10,10.0600,10.6900,9.0100,9.5500,217320
2024-12-09,12.6900,12.6900,9.5300,10.0200,591970
2024-12-06,11.3800,13.6600,11.3800,12.8200,280961
2024-12-05,11.7000,11.7000,11.0001,11.2500,45324
2024-12-04,11.5500,12.1000,11.4483,11.6800,49322
2024-12-03,12.4200,12.4444,11.2500,11.5500,90524
2024-12-02,12.2900,12.5000,11.4401,11.9200,127797
2024-11-29,10.2300,11.9000,10.1000,11.7300,75043
2024-11-27,10.0500,10.2400,9.6100,9.9900,47065
2024-11-26,10.0100,10.2500,9.6266,10.0500,22281
2024-11-25,9.6800,10.2500,9.5300,10.0100,51504
2024-11-22,9.6400,9.8300,9.3700,9.6000,33184
2024-11-21,9.3900,9.7600,9.1805,9.6800,66899
2024-11-20,9.4400,9.7429,8.7250,9.2600,59245
2024-11-19,9.0500,9.5900,9.0500,9.4400,18894
2024-11-18,9.4600,9.6199,9.1665,9.3600,28444
2024-11-15,9.6500,9.7000,9.1200,9.3800,46190
2024-11-14,10.1300,10.2571,9.1400,9.6300,58024
2024-11-13,10.1100,10.3900,9.7600,10.1700,40030
2024-11-12,9.7600,10.2000,9.7600,10.1000,32665
2024-11-11,9.9400,10.2450,9.7400,9.8600,53027
2024-11-08,9.5000,10.0500,9.5000,9.7150,60557
2024-11-07,9.6000,9.9600,8.9300,9.4900,94234
2024-11-06,10.5400,10.8600,9.5100,9.6200,120139
2024-11-05,9.9100,11.1404,9.7000,11.0800,66520
2024-11-04,9.4100,9.8900,9.3200,9.8500,18926
2024-11-01,9.3000,9.5400,9.0600,9.3700,37708
2024-10-31,9.8600,10.0000,9.1001,9.1800,65887
2024-10-30,10.0000,10.4999,9.7500,9.9800,48320
2024-10-29,10.1200,10.3600,10.0500,10.1900,14686
2024-10-28,10.0800,10.4800,9.9102,10.1500,45282
2024-10-25,10.1700,10.3200,9.6900,9.9500,46153
2024-10-24,10.5200,10.5537,9.8850,10.1400,67240
2024-10-23,10.0100,10.6200,9.9100,10.3500,54435
2024-10-22,10.0900,10.4735,9.6050,9.9700,61124
2024-10-21,10.4200,10.8416,10.0100,10.0700,33120
2024-10-18,9.8900,10.8550,9.6357,10.5700,92895
2024-10-17,9.8000,9.9150,9.6200,9.6200,10851
2024-10-16,9.7400,10.0700,9.5000,9.7800,41367
2024-10-15,9.8100,9.9900,9.5200,9.7100,28303
2024-10-14,10.0200,10.3200,9.5000,9.7600,68714
2024-10-11,9.9900,10.2999,9.9900,10.1100,26919
2024-10-10,10.0000,10.4000,9.8400,10.1000,21351
2024-10-09,9.4400,10.5900,9.4400,10.2000,114800
2024-10-08,9.7300,9.7300,9.1179,9.3700,15566
2024-10-07,9.4500,9.7100,8.9500,9.7100,23890
2024-10-04,9.2900,9.3837,9.0400,9.3500,15441
2024-10-03,9.1600,9.2000,8.8800,9.0400,19840
2024-10-02,9.0400,9.4600,8.9200,9.2600,44664
2024-10-01,9.5900,9.5900,9.0000,9.0800,66262
2024-09-30,9.9100,10.4200,9.5000,9.6400,53638
2024-09-27,10.0300,10.4600,9.9000,10.1200,64674
2024-09-26,9.7300,10.2500,9.5114,9.9300,63389
2024-09-25,9.5400,10.4300,9.3200,9.5500,156195
2024-09-24,9.4700,10.3200,9.4700,9.6300,83781
2024-09-23,8.3300,9.8900,8.1004,9.4500,154308
