,1. open,2. high,3. low,4. close,5. volume
2025-02-27,3.0900,3.1900,2.9900,3.1400,5178845
2025-02-26,3.2300,3.3600,3.2250,3.3100,2559249
2025-02-25,3.3400,3.3750,3.3200,3.3400,1030282
2025-02-24,3.3500,3.3600,3.2700,3.2900,2034033
2025-02-21,3.3300,3.3700,3.2900,3.3500,1100804
2025-02-20,3.3300,3.3700,3.3200,3.3300,1818420
2025-02-19,3.3800,3.4200,3.3300,3.3700,1639468
2025-02-18,3.4400,3.4800,3.3800,3.3900,2802723
2025-02-14,3.3900,3.5400,3.3800,3.5200,2635400
2025-02-13,3.4000,3.4800,3.3850,3.4100,1623135
2025-02-12,3.5500,3.5700,3.5100,3.5300,2240949
2025-02-11,3.6900,3.6900,3.6350,3.6600,1118276
2025-02-10,3.6700,3.7500,3.6550,3.7200,1065216
2025-02-07,3.6600,3.6850,3.5750,3.6000,1699569
2025-02-06,3.6800,3.7050,3.6450,3.7000,1804586
2025-02-05,3.5500,3.6400,3.5300,3.6200,1507481
2025-02-04,3.6200,3.6400,3.5611,3.6000,2703825
2025-02-03,3.7600,3.7900,3.6800,3.7100,1590120
2025-01-31,3.8000,3.8521,3.7500,3.7500,1451404
2025-01-30,3.7500,3.7800,3.7100,3.7500,1685172
2025-01-29,3.7500,3.7700,3.7000,3.7600,1613860
2025-01-28,3.7700,3.8000,3.7300,3.7400,1693424
2025-01-27,3.7400,3.7900,3.7250,3.7900,1784627
2025-01-24,3.7100,3.7597,3.6800,3.7000,2316871
2025-01-23,3.7500,3.7700,3.6200,3.6700,2127578
2025-01-22,3.7100,3.7300,3.6500,3.7200,2502064
2025-01-21,3.5800,3.6500,3.5350,3.6100,4487370
2025-01-17,3.7700,3.8500,3.7500,3.7500,3000111
2025-01-16,3.9700,3.9800,3.7200,3.7300,2307922
2025-01-15,4.0400,4.0450,3.9300,4.0100,1916196
2025-01-14,3.8700,3.9599,3.8700,3.9400,1767302
2025-01-13,3.8300,3.8800,3.8200,3.8500,1706893
2025-01-10,3.8200,3.9000,3.7701,3.8500,2612196
2025-01-08,3.8700,3.8700,3.8100,3.8400,840315
2025-01-07,3.9600,3.9700,3.8901,3.9000,1406401
2025-01-06,3.9500,3.9700,3.9000,3.9100,1600120
2025-01-03,4.0000,4.0250,3.9150,3.9200,1352616
2025-01-02,4.0500,4.0900,3.9950,4.0700,1813862
2024-12-31,4.1000,4.1200,4.0400,4.0700,459320
2024-12-30,4.1300,4.1900,4.0600,4.1100,2931695
2024-12-27,4.0100,4.0550,3.9650,4.0500,2628221
2024-12-26,4.2200,4.2200,4.1100,4.1300,2256522
2024-12-24,4.2100,4.2700,4.2100,4.2700,152329
2024-12-23,4.2400,4.2600,4.1900,4.2300,1738821
2024-12-20,4.2800,4.3650,4.1900,4.3500,5323621
2024-12-19,4.2600,4.3300,4.2400,4.2800,3683041
2024-12-18,4.6000,4.6300,4.2300,4.2400,4173496
2024-12-17,4.6000,4.7300,4.5500,4.6900,2204744
2024-12-16,4.6100,4.7000,4.6081,4.6400,1113728
2024-12-13,4.6800,4.6900,4.6030,4.6200,1624240
2024-12-12,4.7700,4.8000,4.6300,4.6500,1536197
2024-12-11,4.6500,4.8700,4.6500,4.7700,2716617
2024-12-10,4.7400,4.7750,4.5850,4.6000,2451458
2024-12-09,4.7100,4.7300,4.6600,4.7100,1519563
2024-12-06,4.7000,4.7250,4.6200,4.6600,1978565
2024-12-05,4.6000,4.7200,4.5900,4.6900,2246240
2024-12-04,4.4000,4.6300,4.4000,4.6200,4068578
2024-12-03,4.3000,4.3800,4.2900,4.3700,4051102
2024-12-02,4.1000,4.1700,4.0800,4.1500,2958846
2024-11-29,4.1200,4.2000,4.0500,4.1300,2812784
2024-11-27,4.2200,4.2600,4.1300,4.1600,2672549
2024-11-26,4.2300,4.2789,4.1900,4.2100,1445840
2024-11-25,4.3600,4.3800,4.3200,4.3600,1274521
2024-11-22,4.3200,4.4000,4.3101,4.3400,1628664
2024-11-21,4.1600,4.3700,4.1600,4.3200,3389387
2024-11-20,4.2100,4.3200,4.2000,4.2500,2499721
2024-11-19,4.2400,4.3174,4.2000,4.2100,2689447
2024-11-18,4.1600,4.1750,4.0800,4.1300,3632723
2024-11-15,4.2800,4.3792,4.2800,4.3100,828197
2024-11-14,4.3800,4.3950,4.2900,4.2900,4767488
2024-11-13,4.3600,4.3773,4.2300,4.2900,2795987
2024-11-12,4.2800,4.3500,4.2550,4.3200,2248598
2024-11-11,4.1800,4.2300,4.1600,4.2100,1770160
2024-11-08,4.2000,4.2400,4.1600,4.2300,2184090
2024-11-07,4.5300,4.5300,4.2600,4.3500,3365133
2024-11-06,4.4400,4.6350,4.4200,4.6000,3582610
2024-11-05,4.4600,4.5100,4.4401,4.5100,1656661
2024-11-04,4.5100,4.5550,4.5000,4.5200,1987125
2024-11-01,4.5100,4.5300,4.4000,4.4100,2390347
2024-10-31,4.5900,4.6600,4.5600,4.5700,4870066
2024-10-30,4.4700,4.4800,4.4200,4.4700,2398113
2024-10-29,4.4900,4.5499,4.4300,4.4500,2285329
2024-10-28,4.4000,4.5200,4.3800,4.4900,3053330
2024-10-25,4.3100,4.3560,4.2700,4.3000,1333629
2024-10-24,4.2900,4.3482,4.2750,4.3200,1498315
2024-10-23,4.2400,4.3200,4.2100,4.3000,2090533
2024-10-22,4.2700,4.2950,4.2100,4.2900,2156347
2024-10-21,4.2600,4.2900,4.2501,4.2800,1523364
2024-10-18,4.3100,4.3500,4.2800,4.2900,1980959
2024-10-17,4.1200,4.2700,4.1200,4.2500,2950475
2024-10-16,4.1100,4.2099,4.0750,4.1500,2035777
2024-10-15,4.1400,4.1900,4.1100,4.1500,2147108
2024-10-14,4.0800,4.1800,4.0650,4.1600,2118507
2024-10-11,4.0800,4.0981,4.0250,4.0800,2340273
2024-10-10,4.0600,4.1800,4.0450,4.1700,3322958
2024-10-09,4.1200,4.1200,4.0400,4.0900,3010127
2024-10-08,4.1600,4.2500,4.1500,4.2300,3089132
2024-10-07,4.3000,4.3100,4.1600,4.2000,2323900
2024-10-04,4.3000,4.3082,4.2600,4.3000,1833480
2024-10-03,4.3200,4.3800,4.2900,4.3300,2272289
2024-10-02,4.5500,4.5551,4.3900,4.4100,3501397
2024-10-01,4.3900,4.5183,4.3450,4.4500,4360226
2024-09-30,4.4700,4.4700,4.3000,4.3700,2272326
2024-09-27,4.5300,4.5500,4.4650,4.4800,1942256
2024-09-26,4.6100,4.6200,4.5250,4.5400,2401916
2024-09-25,4.5500,4.6100,4.5100,4.6000,2363555
2024-09-24,4.5100,4.5700,4.4800,4.5400,2084061
2024-09-23,4.4800,4.5350,4.4700,4.4900,2439743
2024-09-20,4.6800,4.6900,4.5600,4.5600,2049404
2024-09-19,4.6100,4.6250,4.5400,4.6100,2543578
2024-09-18,4.5400,4.5550,4.4150,4.4600,2269711
2024-09-17,4.5700,4.6000,4.5400,4.6000,1693526
2024-09-16,4.5400,4.6400,4.5200,4.5500,2040612
2024-09-13,4.4700,4.5073,4.4200,4.4500,2162648
2024-09-12,4.2400,4.3800,4.2300,4.3700,1831210
2024-09-11,4.3500,4.3700,4.2550,4.3100,1877806
2024-09-10,4.3400,4.4200,4.3313,4.3800,2496086
2024-09-09,4.5100,4.5400,4.3700,4.4300,2600158
2024-09-06,4.5900,4.6050,4.5000,4.5400,2323203
2024-09-05,4.5300,4.5787,4.5050,4.5400,1909552
2024-09-04,4.3800,4.5400,4.3800,4.5200,2555883
2024-09-03,4.4300,4.4400,4.3200,4.3500,2727999
2024-08-30,4.4900,4.6150,4.4900,4.6100,2863701
2024-08-29,4.6200,4.6300,4.5200,4.5900,2080294
2024-08-28,4.6600,4.7100,4.5900,4.6700,3115389
2024-08-27,4.6600,4.7450,4.6600,4.6700,3137110
2024-08-26,4.5600,4.6400,4.5300,4.6300,2043791
2024-08-23,4.6000,4.6200,4.4714,4.5900,3805613
2024-08-22,4.6800,4.7100,4.5800,4.6000,2301904
2024-08-21,4.6800,4.7600,4.6309,4.7500,2566805
2024-08-20,4.6500,4.7100,4.6200,4.6500,2705548
2024-08-19,4.5800,4.6900,4.5500,4.6700,6085781
2024-08-16,4.4700,4.5100,4.4200,4.4800,3331189
2024-08-15,4.4000,4.5450,4.3250,4.4000,4845209
2024-08-14,4.2200,4.3400,4.2000,4.3200,4926848
2024-08-13,4.0200,4.1750,4.0200,4.1600,1935668
2024-08-12,4.0700,4.0784,3.9850,4.0100,1372610
2024-08-09,4.0000,4.0300,3.9700,4.0000,1654181
2024-08-08,3.7700,3.9100,3.7500,3.8900,1511794
2024-08-07,3.7600,3.7800,3.7100,3.7400,1436261
2024-08-06,3.6800,3.7386,3.6613,3.7100,3294513
2024-08-05,3.5400,3.6400,3.5100,3.6300,1888882
2024-08-02,3.7200,3.7750,3.6815,3.6900,1282787
2024-08-01,3.7700,3.8100,3.6800,3.7400,1330130
2024-07-31,3.7900,3.8600,3.7300,3.7600,3277299
2024-07-30,3.7900,3.8400,3.7600,3.8000,1946602
2024-07-29,3.8800,3.8950,3.7900,3.7900,1800010
2024-07-26,3.7600,3.8600,3.7550,3.8200,1863073
2024-07-25,3.6500,3.7250,3.6200,3.7000,2090710
2024-07-24,3.6800,3.7385,3.6500,3.6500,1049255
2024-07-23,3.7700,3.8150,3.7300,3.7400,869249
2024-07-22,3.8400,3.8900,3.7800,3.7800,1732397
2024-07-19,3.7800,3.8400,3.6750,3.7400,3794278
2024-07-18,3.8500,3.8800,3.7300,3.7300,4348723
2024-07-17,4.1400,4.2000,4.1150,4.1300,1811835
